Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
The Greatest Story Ever Told,1965,42,44558,No consensus yet.,"From his birth in Bethlehem to his death and eventual resurrection, the life of Jesus Christ (Max von Sydow) is...",George Stevens,"Max von Sydow, Charlton Heston, Carroll Baker, Dorothy McGuire"
The Majestic,2001,42,46912,"Ponderous and overlong, The Majestic drowns in forced sentimentality and resembles a mish-mash of other, better films.","Rising Hollywood screenwriter Peter Appleton (Jim Carrey) is blacklisted in the early 1950s Red Scare. Following a drunken car accident,...",Frank Darabont,"Jim Carrey, Martin Landau, Laurie Holden, David Ogden Stiers"
Legend,1985,42,45782,Not even Ridley Scott's gorgeously realized set pieces can save,Darkness (Tim Curry) seeks to create eternal night by destroying the last of the unicorns. Jack (Tom Cruise) and his...,Ridley Scott,"Tom Cruise, Mia Sara, Tim Curry, David Bennent"
The Mechanic,1972,40,40579,No consensus yet.,"Arthur Bishop (Charles Bronson) is a veteran hit man who, owing to his penchant for making his targets' deaths seem...",Michael Winner,"Charles Bronson, Jan-Michael Vincent, Keenan Wynn, Jill Ireland"
The Girl Who Believes in Miracles,2021,40,10748,No consensus yet.,"When young Sara hears a preacher say faith can move mountains, she starts praying. Suddenly, people in her town are...",Richard Correll,"Mira Sorvino, Austyn Johnson, Kevin Sorbo, Peter Coyote"
The Incredible Mr. Limpet,1964,40,40237,No consensus yet.,"Aquatic life fanatic Henry Limpet (Don Knotts) falls into the sea and transforms into a fish, quickly becoming pals with...",Arthur Lubin,"Don Knotts, Carole Cook, Jack Weston, Andrew Duggan"
Hannibal,2001,39,44999,"While superbly acted and stylishly filmed, Hannibal lacks the character interaction between the two leads which made the first movie so engrossing.",Seven years have passed since Dr. Hannibal Lecter (Anthony Hopkins) escaped from custody. The doctor is now at large in...,Ridley Scott,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta"
The Legend of Billie Jean,1985,39,42047,"Rebellious in spirit and anarchic in style, this Helen Slater-starring vehicle holds a certain youthful cool but is otherwise a disjointed retelling of an oft-repeated legend.","Restless teenager Billie Jean Davy (Helen Slater) and her brother, Binx (Christian Slater), dream of leaving oppressive Corpus Christi, Texas,...",Matthew Robbins,"Helen Slater, Keith Gordon, Christian Slater, Richard Bradford"
Days of Thunder,1990,38,43200,,"In the fast-paced world of NASCAR, a rivalry brews between rookie hotshot Cole Trickle (Tom Cruise) and veteran racer Rowdy...",Tony Scott,"Tom Cruise, Robert Duvall, Nicole Kidman, Randy Quaid"
The Robe,1953,38,40005,No consensus yet.,"In this biblical epic, a drunk and disillusioned Roman, Marcellus Gallio (Richard Burton), wins Jesus' robe in a dice game...",Henry Koster,"Richard Burton, Jean Simmons, Victor Mature, Michael Rennie"
Wyatt Earp,1994,32,38004,"Easy to admire yet difficult to love,","The epic biography of western lawman Wyatt Earp, who at an early age, is taught that nothing matters more than...",Lawrence Kasdan,"Kevin Costner, Dennis Quaid, Gene Hackman, Jeff Fahey"
8 Seconds,1994,31,31075,No consensus yet.,"An ex-bull rider (James Rebhorn) trains his son (Luke Perry), who becomes the world rodeo champion in 1987 Oklahoma....",John G. Avildsen,"Luke Perry, Stephen Baldwin, James Rebhorn, Cynthia Geary"
The Twilight Saga: New Moon,2009,28,37098,,"After the abrupt departure of Edward (Robert Pattinson), her vampire love, Bella (Kristen Stewart) finds comfort in her deepening friendship...",Chris Weitz,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Ashley Greene"
A Walk to Remember,2002,29,32082,"Though wholesome, the Mandy Moore vehicle A Walk to Remember is also bland and oppressively syrupy.","Set in North Carolina, ""A Walk To Remember"" follows the rite of passage of a jaded, aimless high school senior...",Adam Shankman,"Shane West, Mandy Moore, Peter Coyote, Daryl Hannah"
The Twilight Saga: Breaking Dawn Part 1,2011,25,33341,"Slow, joyless, and loaded with unintentionally humorous moments,","At last, Bella (Kristen Stewart) and Edward (Robert Pattinson) are getting married. When Jacob (Taylor Lautner) finds out that Bella...",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Billy Burke"
The Shack,2017,21,24199,,"After suffering a family tragedy, Mack Phillips spirals into a deep depression that causes him to question his innermost beliefs....",Stuart Hazeldine,"Sam Worthington, Octavia Spencer, Aviv Alush, Radha Mitchell"
Patch Adams,1998,21,24898,Syrupy performances and directing make this dramedy all too obvious.,"After struggling with depression in a mental hospital, Hunter ""Patch"" Adams (Robin Williams) decides he wants to become a doctor....",Tom Shadyac,"Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman"
For Keeps,1988,17,17205,No consensus yet.,"Young high school couple Darcy Elliot (Molly Ringwald) and Stan Bobrucz (Randall Batinkoff) are one year from graduation, with promising...",John G. Avildsen,"Molly Ringwald, Randall Batinkoff, Kenneth Mars, Miriam Flynn"
Without a Paddle,2004,14,17685,"Without a Paddle has a few laughs, but not enough to sustain its running time.","After their friend Billy (Anthony Starr) dies, Tom (Dax Shepard), Jerry (Matthew Lillard) and Dan (Seth Green) go on a...",Steven Brill,"Seth Green, Matthew Lillard, Dax Shepard, Ethan Suplee"
Kung Pow: Enter the Fist,2002,13,14081,A short sketch's worth of jokes stretched into a full-length feature.,"Writer-director Steve Oedekerk acquired the little known 1976 Hong Kong karate flick ""Savage Killers,"" then seamlessly blended portions of the...",Steve Oedekerk,"Steve Oedekerk, Lung Fai, Leo Lee, Ling-ling Hsieh"
Drop Dead Fred,1991,11,13661,"Tackling mature themes with an infantile sensibility,","An unhappy housewife (Phoebe Cates) gets a lift from the return of her imaginary childhood friend, Drop Dead Fred (Rik...",Ate de Jong,"Phoebe Cates, Rik Mayall, Marsha Mason, Tim Matheson"
Alien,1979,93,114135,"A modern classic,","In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey...",Ridley Scott,"Tom Skerritt, Sigourney Weaver, John Hurt, Veronica Cartwright"
Let the Right One In,2008,98,105707,,"When Oskar (Kåre Hedebrant), a sensitive, bullied 12-year-old boy living with his mother in suburban Sweden, meets his new neighbor,...",Tomas Alfredson,"Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl"
Aliens,1986,98,106952,While,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team....",James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Jaws,1975,97,108923,"Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg's","When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island,...",Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
The Silence of the Lambs,1991,95,109139,"Director Jonathan Demme's smart, taut thriller teeters on the edge between psychological study and all-out horror, and benefits greatly from stellar performances by Anthony Hopkins and Jodie Foster.","Jodie Foster stars as Clarice Starling, a top student at the FBI's training academy. Jack Crawford (Scott Glenn) wants Clarice...",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine"
Get Out,2017,98,120502,"Funny, scary, and thought-provoking,","Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend...",Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford"
Psycho,1960,97,112333,"Infamous for its shower scene, but immortal for its contribution to the horror genre. Because","Phoenix secretary Marion Crane (Janet Leigh), on the lam after stealing $40,000 from her employer in order to run away...",Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
One Cut of the Dead,2017,100,104657,"Brainy and bloody in equal measure,",Real zombies attack a hack director and a film crew who are shooting a low budget zombie film in an...,Shinichiro Ueda,"Takayuki Hamatsu, Yuzuki Akiyama, Harumi Shuhama, Kazuaki Nagaya"
King Kong,1933,97,115579,,Actress Ann Darrow (Fay Wray) and director Carl Denham (Robert Armstrong) travel to the Indian Ocean to do location shoots...,Merian C. Cooper,"Fay Wray, Bruce Cabot, Robert Armstrong, Frank Reicher"
A Quiet Place,2018,96,117502,,"If they hear you, they hunt you. A family must live in silence to avoid mysterious creatures that hunt by...",John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe"
Halloween,1978,96,105079,"Scary, suspenseful, and viscerally thrilling,","On a cold Halloween night in 1963, six year old Michael Myers brutally murdered his 17-year-old sister, Judith. He was...",John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P.J. Soles"
Shaun of the Dead,2004,92,99199,,"Shaun is a 30-something loser with a dull, easy existence. When he's not working at the electronics store, he lives...",Edgar Wright,"Simon Pegg, Kate Ashfield, Lucy Davis, Nick Frost"
What We Do in the Shadows,2014,96,104902,"Smarter, fresher, and funnier than a modern vampire movie has any right to be,","Vampire housemates (Jemaine Clement, Taika Waititi, Jonathan Brugh) try to cope with the complexities of modern life and show a...",Jemaine Clement,"Jemaine Clement, Taika Waititi, Jonny Brugh, Cori Gonzalez-Macuer"
Diabolique,1955,95,105670,"Cruel, dark, but undeniably effective,","In this classic of French suspense, the cruel and abusive headmaster of a boarding school, Michel Delassalle (Paul Meurisse), becomes...",Henri-Georges Clouzot,"Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel"
The Invisible Man,2020,92,116768,"Smart, well-acted, and above all scary,","After staging his own suicide, a crazed scientist uses his power to become invisible to stalk and terrorize his ex-girlfriend....",Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen, Aldis Hodge, Storm Reid"
Nosferatu,1922,97,109832,"One of the silent era's most influential masterpieces,","In this highly influential silent horror film, the mysterious Count Orlok (Max Schreck) summons Thomas Hutter (Gustav von Wangenheim) to...",F.W. Murnau,"Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schroeder"
Invasion of the Body Snatchers,1956,98,106873,"One of the best political allegories of the 1950s,","In Santa Mira, California, Dr. Miles Bennell (Kevin McCarthy) is baffled when all his patients come to him with the...",Don Siegel,"Kevin McCarthy, Dana Wynter, Carolyn Jones, Larry Gates"
Rosemary's Baby,1968,96,107030,A frightening tale of Satanism and pregnancy that is even more disturbing than it sounds thanks to convincing and committed performances by Mia Farrow and Ruth Gordon.,A young wife comes to believe that her offspring is not of this world. Waifish Rosemary Woodhouse (Mia Farrow) and...,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer"
The Wailing,2016,99,102389,,Suspicion leads to hysteria when rural villagers link a series of brutal murders to the arrival of a mysterious stranger...,Na Hong-jin,"Kwak Do-won, Jun Kunimura, Hwang Jung-min, Chun Woo-hee"
Bride of Frankenstein,1935,98,107863,"An eccentric, campy, technically impressive, and frightening picture, James Whale's","After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein (Colin Clive) falls under...",James Whale,"Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson"
The Cabinet of Dr. Caligari,1919,96,110350,"Arguably the first true horror film,","At a carnival in Germany, Francis (Friedrich Feher) and his friend Alan (Rudolf Lettinger) encounter the crazed Dr. Caligari (Werner...",Robert Wiene,"Werner Krauss, Conrad Veidt, Lil Dagover, Friedrich Feher"
The Devil's Backbone,2001,93,96967,"Creepily atmospheric and haunting,","After losing his father, 10-year-old Carlos (Fernando Tielve) arrives at the Santa Lucia School, which shelters orphans of the Republican...",Guillermo del Toro,"Marisa Paredes, Eduardo Noriega, Federico Luppi, Fernando Tielve"
Eyes Without a Face,1960,97,104664,"A horrific tale of guilt and obsession,","Dr. Génessier (Pierre Brasseur) is riddled with guilt after an accident that he caused disfigures the face of his daughter,...",Georges Franju,"Pierre Brasseur, Alida Valli, Edith Scob, Juliette Mayniel"
A Quiet Place Part II,2021,91,109827,"A nerve-wracking continuation of its predecessor,","Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they...",John Krasinski,"Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe"
The Babadook,2014,98,109621,,A troubled widow (Essie Davis) discovers that her son is telling the truth about a monster that entered their home...,Jennifer Kent,"Essie Davis, Daniel Henshall, Noah Wiseman, Hayley McElhinney"
Train to Busan,2016,95,100533,,"A man (Gong Yoo), his estranged daughter and other passengers become trapped on a speeding train during a zombie outbreak...",Yeon Sang-ho,"Gong Yoo, Jung Yu-mi, Ma Dong-seok, Choi Woo-sik"
The Ring,1998,98,99967,,"When her niece is found dead along with three friends after viewing a supposedly cursed videotape, reporter Reiko Asakawa (Nanako...",Hideo Nakata,"Nanako Matsushima, Hiroyuki Sanada, Miki Nakatani, Yuko Takeuchi"
His House,2020,100,106633,"Featuring genuine scares through every corridor,","A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new...",Remi Weekes,"Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John"
Night of the Living Dead,1968,95,106030,"George A. Romero's debut set the template for the zombie film, and features tight editing, realistic gore, and a sly political undercurrent.",A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search...,George A. Romero,"Duane Jones, Judith O'Dea, Karl Hardman, Keith Wayne"
Talk to Me,2023,95,110782,"With a gripping story and impressive practical effects,","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new...",Danny Philippou,"Sophie Wilde, Miranda Otto, Otis Dhanji, Alexandra Jensen"
Tigers Are Not Afraid,2017,97,102765,,"When a girl's mother disappears leaving her on her own, she goings a gang of street children, leading to a...",Issa López,"Paola Lara, Ianis Guerrero, Rodrigo Cortés, Hanssel Casillas"
Repulsion,1965,96,104933,"Roman Polanski's first English film follows a schizophrenic woman's descent into madness, and makes the audience feel as claustrophobic as the character.","In Roman Polanski's first English-language film, beautiful young manicurist Carole (Catherine Deneuve) suffers from androphobia (the pathological fear of interaction...",Roman Polanski,"Catherine Deneuve, Yvonne Furneaux, Ian Hendry, John Fraser"
Frankenstein,1931,94,108000,"Still unnerving to this day,",This iconic horror film follows the obsessed scientist Dr. Henry Frankenstein as he attempts to create life by assembling a...,James Whale,"Colin Clive, Mae Clarke, John Boles, Boris Karloff"
Vampyr,1932,98,105169,"Full of disorienting visual effects, Carl Theodor Dreyer's","After Allan Gray (Julian West) rents a room near Courtempierre in France, strange events unfold: An elderly man leaves a...",Carl Theodor Dreyer,"Julian West, Henriette Gérard, Jan Hieronimko, Maurice Schutz"
Freaks,1932,95,104768,Time has been kind to this horror legend:,"When trapeze artist Cleopatra (Olga Baclanova) learns that circus midget Hans (Harry Earles) has an inheritance, she marries the lovesick,...",Tod Browning,"Wallace Ford, Olga Baclanova, Leila Hyams, Roscoe Ates"
The Night of the Hunter,1955,93,103535,"Featuring Robert Mitchum's formidable performance as a child-hunting preacher,",The Rev. Harry Powell (Robert Mitchum) is a religious fanatic and serial killer who targets women who use their sexuality...,Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish, Evelyn Varden"
A Nightmare on Elm Street,1984,95,99918,"Wes Craven's intelligent premise, combined with the horrifying visual appearance of Freddy Krueger, still causes nightmares to this day.","In Wes Craven's classic slasher film, several Midwestern teenagers fall prey to Freddy Krueger (Robert Englund), a disfigured midnight mangler...",Wes Craven,"John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss"
The Innocents,1961,95,101691,"Creepily atmospheric,","Based on the Henry James story ""The Turn of the Screw,"" a psychological thriller about a woman who takes a...",Jack Clayton,"Deborah Kerr, Martin Stephens, Pamela Franklin, Michael Redgrave"
Prey,2022,94,109144,"The rare action thriller that spikes adrenaline without skimping on character development,","Set in the Comanche Nation 300 years ago, ""Prey"" is the story of a young woman, Naru, a fierce and...",Dan Trachtenberg,"Amber Midthunder, Dakota Beavers, Stormee Kipp, Michelle Thrush"
Under the Shadow,2016,99,102746,,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was...",Babak Anvari,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian"
Nosferatu the Vampyre,1979,95,101113,Stunning visuals from Werner Herzog and an intense portrayal of the famed bloodsucker from Klaus Kinski make this remake of,"Jonathan Harker is sent away to Count Dracula's castle to sell him a house in Virna, where he lives. But...",Werner Herzog,"Klaus Kinski, Isabelle Adjani, Bruno Ganz, Roland Topor"
Border,2018,97,103467,"Thrilling, unpredictable, and brilliantly acted,",Customs officer Tina is known for her extraordinary sense of smell. It's almost as if she can sniff out the...,Ali Abbasi,"Eva Melander, Eero Milonoff, Viktor Åkerblom, Matti Boustedt"
M3GAN,2022,93,110042,"Unapologetically silly and all the more entertaining for it,","M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child's greatest companion and a parent's...",Gerard Johnstone,"Allison Williams, Violet McGraw, Ronny Chieng, Brian Jordan Alvarez"
Dawn of the Dead,1978,91,96719,"One of the most compelling and entertaining zombie films ever,","As hordes of zombies swarm over the U.S., the terrified populace tries everything in their power to escape the attack...",George A. Romero,"David Emge, Ken Foree, Gaylen Ross, Scott H. Reiniger"
Godzilla,1954,93,102216,"More than straight monster-movie fare,",A fire-breathing behemoth terrorizes Japan after an atomic bomb awakens it from its centuries-old sleep....,Ishirô Honda,"Takashi Shimura, Momoko Kochi, Akira Takarada, Akihiko Hirata"
The Face of Fear,1960,95,102664,,"Loner Mark Lewis (Carl Boehm) works at a film studio during the day and, at night, takes racy photographs of...",Michael Powell,"Karlheinz Böhm, Moira Shearer, Anna Massey, Maxine Audley"
A Girl Walks Home Alone at Night,2014,96,101875,,Residents of a worn-down Iranian city encounter a skateboarding vampire (Sheila Vand) who preys on men who disrespect women....,Ana Lily Amirpour,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Marnò"
Re-Animator,1985,94,99889,"Perfectly mixing humor and horror, the only thing more effective than",A medical student (Jeffrey Combs) brings his headless professor back from the dead with a special serum....,Stuart Gordon,"Jeffrey Combs, Bruce Abbott, Barbara Crampton, David Gale"
The Fly,1986,93,100579,"David Cronenberg combines his trademark affinity for gore and horror with strongly developed characters, making","When scientist Seth Brundle (Jeff Goldblum) completes his teleportation device, he decides to test its abilities on himself. Unbeknownst to...",David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel"
Suspiria,1977,94,100566,The blood pours freely in Argento's classic,"Suzy (Jessica Harper) travels to Germany to attend ballet school. When she arrives, late on a stormy night, no one...",Dario Argento,"Jessica Harper, Stefania Casini, Joan Bennett, Eva Axén"
Pearl,2022,93,103627,,"Filmmaker Ti West returns with another chapter from the twisted world of X, in this astonishing follow-up to the year's...",Ti West,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland"
Zombieland,2009,89,99421,"Wickedly funny and featuring plenty of gore,","After a virus turns most people into zombies, the world's surviving humans remain locked in an ongoing battle against the...",Ruben Fleischer,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin"
The Birds,1963,94,102237,"Proving once again that build-up is the key to suspense, Alfred Hitchcock successfully turned birds into some of the most terrifying villains in horror history.",Melanie Daniels (Tippi Hedren) meets Mitch Brenner (Rod Taylor) in a San Francisco pet store and decides to follow him...,Alfred Hitchcock,"Rod Taylor, Tippi Hedren, Suzanne Pleshette, Jessica Tandy"
The Innocents,2021,97,102449,,"During the bright Nordic summer, a group of children reveal mysterious powers. But what starts out innocent soon takes a...",Eskil Vogt,"Rakel Lenora Fløttum, Alva Brynsmo Ramstad, Mina Yasmin Bremseth Asheim, Sam Ashraf"
What Ever Happened to Baby Jane?,1962,91,96998,,"Jane Hudson (Bette Davis) is an aging child star left to care for her wheelchair-bound sister Blanche (Joan Crawford), also...",Robert Aldrich,"Bette Davis, Joan Crawford, Victor Buono, Marjorie Bennett"
X,2022,94,105944,"A fresh spin on the classic slasher formula,","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their...",Ti West,"Mia Goth, Jenna Ortega, Martin Henderson, Brittany Snow"
Misery,1990,91,97036,"Elevated by standout performances from James Caan and Kathy Bates, this taut and frightening film is one of the best Stephen King adaptations to date.","After a serious car crash, novelist Paul Sheldon (James Caan) is rescued by former nurse Annie Wilkes (Kathy Bates), who...",Rob Reiner,"James Caan, Kathy Bates, Frances Sternhagen, Richard Farnsworth"
The Cabin in the Woods,2011,92,103955,,"When five college friends (Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams) arrive at a remote forest cabin...",Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz"
The Amusement Park,1973,96,103949,"A blunt yet visceral depiction of society's treatment of the elderly,","Recently discovered and restored 46 years after its completion by the George A. Romero Foundation and produced by Suzanne Desrocher-Romero,...",George A. Romero,"Lincoln Maazel, Harry Albacker, Phyllis Casterwiler, Pete Chovan"
It Follows,2014,95,107852,"Smart, original, and above all terrifying,","After carefree teenager Jay (Maika Monroe) sleeps with her new boyfriend, Hugh (Jake Weary), for the first time, she learns...",David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary"
Raw,2016,93,102258,,"Stringent vegetarian Justine (Garance Marillier) encounters a decadent, merciless and dangerously seductive world during her first week at veterinary school....",Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Joana Preiss"
Dead of Night,1945,93,98749,"With four accomplished directors contributing,","Architect Walter Craig (Mervyn Johns) goes to Pilgrim's Farm to see a potential client. When he arrives at the house,...",Alberto Cavalcanti,"Mervyn Johns, Michael Redgrave, Roland Culver, Mary Merrall"
Dracula,1931,94,101053,Bela Lugosi's timeless portrayal of Dracula in this creepy and atmospheric 1931 film has set the standard for major vampiric roles since.,"The dashing, mysterious Count Dracula (Bela Lugosi), after hypnotizing a British soldier, Renfield (Dwight Frye), into his mindless slave, travels...",Tod Browning,"Bela Lugosi, Edward Van Sloan, Dwight Frye, David Manners"
Carrie,1976,93,102548,,"In this chilling adaptation of Stephen King's horror novel, withdrawn and sensitive teen Carrie White (Sissy Spacek) faces taunting from...",Brian De Palma,"Sissy Spacek, Piper Laurie, William Katt, Amy Irving"
The Host,2006,93,99080,"As populace pleasing as it is intellectually satisfying,","Careless American military personnel dump chemicals into South Korea's Han River. Several years later, a creature emerges from the tainted...",Bong Joon Ho,"Song Kang-ho, Byun Hee-bong, Park Hae-il, Bae Doo-na"
10 Cloverfield Lane,2016,90,104938,"Smart, solidly crafted, and palpably tense,","After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two...",Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin"
Kwaidan,1964,91,95689,"Exquisitely designed and fastidiously ornate, Masaki Kobayashi's ambitious anthology operates less as a frightening example of horror and more as a meditative tribute to Japanese folklore.","Taking its title from an archaic Japanese word meaning ""ghost story,"" this anthology adapts four folk tales. A penniless samurai...",Masaki Kobayashi,"Rentarô Mikuni, Michiyo Aratama, Tetsurô Tanba, Katsuo Nakamura"
28 Days Later,2002,87,95100,"Kinetically directed by Danny Boyle,","A group of misguided animal rights activists free a caged chimp infected with the ""Rage"" virus from a medical research...",Danny Boyle,"Cillian Murphy, Noah Huntley, Naomie Harris, Brendan Gleeson"
Don't Look Now,1973,93,101646,,"Still grieving over the accidental death of their daughter, Christine (Sharon Williams), John (Donald Sutherland) and Laura Baxter (Julie Christie)...",Nicolas Roeg,"Julie Christie, Donald Sutherland, Hilary Mason, Clelia Matania"
Thelma,2017,92,99864,,"A college student starts to experience extreme seizures while studying at a university in Oslo, Norway. She soon learns that...",Joachim Trier,"Eili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen"
Attack the Block,2011,91,98152,"Effortlessly mixing scares, laughs, and social commentary,","South London teenagers (John Boyega, Alex Esmail, Leeon Jones) defend their neighborhood from malevolent extraterrestrials....",Joe Cornish,"John Boyega, Jodie Whittaker, Alex Esmail, Leeon Jones"
The Orphanage,2007,87,93942,"Deeply unnerving and surprisingly poignant,",Laura (Belén Rueda) has happy memories of her childhood in an orphanage. She convinces her husband to buy the place...,J. A. Bayona,"Belén Rueda, Fernando Cayo, Geraldine Chaplin, Montserrat Carulla"
Barbarian,2022,93,103851,"Smart, darkly humorous, and above all scary,","Traveling to Detroit for a job interview, a young woman books a rental home. But when she arrives late at...",Zach Cregger,"Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis"
Werewolf by Night,2022,89,94529,"A spooky yarn told with taut economy,","On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the
foreboding...",Michael Giacchino,"Gael García Bernal, Laura Donnelly, Harriet Sansom Harris"
Us,2019,93,122742,"With Jordan Peele's second inventive, ambitious horror film, we have seen how to beat the sophomore jinx, and it is","Accompanied by her husband, son and daughter, Adelaide Wilson returns to the beachfront home where she grew up as a...",Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker"
Upgrade,2018,88,98339,"Like its augmented protagonist,",A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers...,Leigh Whannell,"Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson, Christopher Kirby"
Evil Dead 2,1987,88,95717,"Less a continuation than an outright reimagining, Sam Raimi transforms his horror tale into a comedy of terrors -- and arguably even improves on the original formula.","The second of three films in the Evil Dead series is part horror, part comedy, with Ash Williams (Bruce Campbell)...",Sam Raimi,"Bruce Campbell, Sarah Berry, Dan Hicks, Denise Bixler"
An American Werewolf in London,1981,89,95061,"Terrifying and funny in almost equal measure, John Landis' horror-comedy crosses genres while introducing Rick Baker's astounding make-up effects.","David (David Naughton) and Jack (Griffin Dunne), two American college students, are backpacking through Britain when a large wolf attacks...",John Landis,"David Naughton, Jenny Agutter, Griffin Dunne, John Woodvine"
Ready or Not,2019,89,105813,"Smart, subversive, and darkly funny,",Grace couldn't be happier after she marries the man of her dreams at his family's luxurious estate. There's just one...,Matt Bettinelli-Olpin,"Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny"
The Lighthouse,2019,90,110864,"A gripping story brilliantly filmed and led by a pair of powerhouse performances,",Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the...,Robert Eggers,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes"
It,2017,85,106686,"Well-acted and fiendishly frightening with an emotionally affecting story at its core,","Seven young outcasts in Derry, Maine, are about to face their worst nightmare -- an ancient, shape-shifting evil that emerges...",Andy Muschietti,"Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard"
Eraserhead,1977,89,95814,David Lynch's surreal,Henry (John Nance) resides alone in a bleak apartment surrounded by industrial gloom. When he discovers that an earlier fling...,David Lynch,"Jack Nance, Charlotte Stewart, Allen Joseph, Jeanne Bates"
Green Room,2015,90,101863,,"Members (Anton Yelchin, Alia Shawkat) of a punk-rock band and a tough young woman (Imogen Poots) battle murderous white supremacists...",Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat, Joe Cole"
Beast,2017,92,99573,,"In a small island community, a troubled young woman falls for a mysterious outsider who empowers her to escape her...",Michael Pearce,"Jessie Buckley, Geraldine James, Johnny Flynn, Charley Palmer Rothwell"
Hereditary,2018,90,111385,,"When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and increasingly terrifying...",Ari Aster,"Toni Collette, Gabriel Byrne, Alex Wolff, Ann Dowd"
Drag Me to Hell,2009,92,102906,Sam Raimi returns to top form with,Christine Brown (Alison Lohman) has a loving boyfriend (Justin Long) and a great job at a Los Angeles bank. But...,Sam Raimi,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao"
The Return of the Living Dead,1985,91,94899,"A punk take on the zombie genre,","When foreman Frank (James Karen) shows new employee Freddy (Thom Mathews) a secret military experiment in a supply warehouse, the...",Dan O'Bannon,"Clu Gulager, James Karen, Don Calfa, Thom Mathews"
